"","link","section","word","linenumber"
"39","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","morta",90
"40","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","contagiata",96
"41","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","scorsi",100
"42","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","pronto",104
"43","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","soccorso",105
"44","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","codogno",107
"45","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","codogno",117
"46","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","indicato",118
"47","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","paziente",120
"48","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","decesso",125
"49","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","donna",127
"50","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","dovuto",130
"51","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","coronavirus",132
"52","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","decesso",141
"53","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","lombardia",143
"54","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","anziana",144
"55","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","positiva",145
"56","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","morte",150
"57","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","chiarire",153
